job_name,mean_salary,min_salary,max_salary,first_grad,second_grad,third_grad,fourth_grad,fiveth_grad,first_department,second_department,third_department,fourth_department,fiveth_department,first_school,second_school,third_school,fourth_school,fiveth_school,first_skill,second_skill,third_skill,fourth_skill,fiveth_skill,number_of_entries ,job_advertisement,total_participants,male_percentage,female_percentage
A Sınıfı İş Güvenliği Uzmanı,4950,2030,7870,Maden Mühendisliği,Makine Mühendisliği,Kimya,Jeoloji Mühendisliği,Çevre Mühendisliği,Çevre,Sağlık,Yapı,Hizmet,Güvenlik,Hacettepe Üniversitesi,İstanbul Teknik Üniversitesi (İTÜ),Ege Üniversitesi,İstanbul Üniversitesi (İÜ),Çukurova Üniversitesi,AutoCAD,GSM,ISO 14001,ISO 9001,ISO 9001:2000,304,138,1292,73,27
AB Proje Asistanı,4110,2250,7380,Uluslararası İlişkiler,İşletme,Siyaset Bilimi ve Kamu Yönetimi,Biyoloji,Sosyoloji,Danışmanlık,Eğitim,Yapı,Topluluklar,Hizmet,Hacettepe Üniversitesi,Anadolu Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),İhsan Doğramacı Bilkent Üniversitesi,Ege Üniversitesi,Adobe Photoshop,Ansys Workbench,AutoCAD,C#,C++,27,0,784,34,66
AB Proje Geliştirme Uzmanı,5650,3500,9440,Uluslararası İlişkiler,Makine-Resim-Konstrüksiyon (MYO),İşletme,Çalışma Ekonomisi ve Endüstri İlişkileri,İktisat,Danışmanlık,Yapı,Eğitim,Maden ve Metal Sanayi,Taşımacılık,Karadeniz Teknik Üniversitesi (KTÜ),Anadolu Üniversitesi,Ankara Üniversitesi,Ege Üniversitesi,Orta Doğu Teknik Üniversitesi (ODTÜ),APQP,AutoCAD,ISO 9001:2000,İhracat işlemleri,Maliyet Analizleri,9,0,153,48,51
Acente Temsilcisi,3610,2020,6160,İşletme,Turizm ve Seyahat İşletmeciliği (MYO),Seyahat İşletmeciliği,Turizm ve Otel İşletmeciliği (MYO),Seyahat İşletmeciliği ve Turizm Rehberliği,Turizm,Sigortacılık,Taşımacılık,Hizmet,Finans - Ekonomi,Anadolu Üniversitesi,Muğla Üniversitesi,Çanakkale 18 Mart Üniversitesi,Adnan Menderes Üniversitesi,Balıkesir Üniversitesi,Maliyet Muhasebesi,Satış Yönetimi,0,0,0,29,2,837,57,43
Acil Servis Hemşiresi,2700,2020,3430,İlk ve Acil (Paramedik),Hemşirelik,Hemşirelik ve Sağlık Hizmetleri,Hemşirelik (MYO),Acil Yardım Teknikerliği (MYO),Sağlık,Hizmet,Sigortacılık,Bilişim,Eğitim,Anadolu Üniversitesi,Üsküdar Üniversitesi,İstanbul Medipol Üniversitesi,Marmara Üniversitesi,Sakarya Üniversitesi,İşçi Sağlığı ve İş Güvenliği,Kan Alma,0,0,0,96,4,9500,34,66
Acil Tıp Teknisyeni,2570,2020,3170,İlk ve Acil (Paramedik),Acil Yardım Teknikerliği (MYO),Acil Yardım ve Afet Yönetimi,Sağlık Kurumları İşletmeciliği,İş Sağlığı ve Güvenliği (MYO),Sağlık,Hizmet,Sigortacılık,Çevre,Yapı,Anadolu Üniversitesi,Atatürk Üniversitesi,Üsküdar Üniversitesi,İstanbul Medipol Üniversitesi,Kocaeli Üniversitesi,İşçi Sağlığı ve İş Güvenliği,0,0,0,0,116,9,10989,52,48
Acil Tıp Uzmanı,12300,8000,18040,Tıp,Acil Yardım ve Afet Yönetimi,Sağlık Kurumları İşletmeciliği,Takı Tasarımı,Adalet (MYO),Sağlık,Hizmet,Çevre,Sigortacılık,Bilişim,Ondokuz Mayıs Üniversitesi,Uludağ Üniversitesi,İstanbul Üniversitesi (İÜ),Gülhane Askeri Tıp Akademisi,Ege Üniversitesi,SPSS,0,0,0,0,18,4,229,71,30
Adli Tıp Uzmanı,10500,4500,22980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
Aerodinamik Mühendisi,6400,3350,9460,Makine Mühendisliği,Uçak Mühendisliği,Uzay Mühendisliği,Havacılık ve Uzay Mühendisliği,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,Üretim / Endüstriyel Ürünler,Havacılık,Hizmet,Enerji,Otomotiv,İstanbul Teknik Üniversitesi (İTÜ),Orta Doğu Teknik Üniversitesi (ODTÜ),Manisa Celal Bayar Üniversitesi,TOBB Ekonomi ve Tek. Üniversitesi,Yıldız Teknik Üniversitesi (YTÜ),ABAQUS,Ansys Fluent,Ansys Workbench,AutoCAD,CATIA,23,3,62,69,31
Ağ Geliştirme Müdürü,7530,3000,12680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
